ground	jikken	kougakubu	bigorange	centerzone	firecenter	sangaku	yamade	motooka	motookauniv	tarou	fujimi	izumi	susenji	susenjieast	yamazaki	motookasch	motookapost	imade	genyou	workcenter	yokonisi	maiduru	kitahara	gakken
18:47	18:48	18:50	18:53	18:53	18:55	18:55	null	null	null	null	null	null	null	null	null	18:58	18:59	19:00	19:01	19:02	19:03	19:03	null	19:07
18:52	18:53	18:55	18:58	18:58	19:00	19:00	null	null	19:03	19:04	19:05	19:06	19:09	19:10	19:11	null	null	null	null	null	null	null	19:12	19:14
18:57	18:58	19:00	19:03	19:03	19:05	19:05	null	null	null	null	null	null	null	null	null	19:08	19:09	19:10	19:11	19:12	19:13	19:13	null	19:17
19:02	19:03	19:05	19:07	19:07	19:08	19:08	null	null	19:11	19:12	19:13	19:14	19:17	19:18	19:19	null	null	null	null	null	null	null	19:20	19:22
19:07	19:08	19:10	19:12	19:12	19:13	19:13	null	null	null	null	null	null	null	null	null	19:16	19:17	19:18	19:19	19:20	19:21	19:22	null	19:25
19:12	19:13	19:15	19:17	19:17	19:18	19:18	null	null	19:21	19:22	19:23	19:24	19:27	19:28	19:29	null	null	null	null	null	null	null	19:30	19:32
19:17	19:18	19:20	19:22	19:22	19:23	19:23	null	null	null	null	null	null	null	null	null	19:26	19:27	19:28	19:29	19:30	19:31	19:32	null	19:35
19:22	19:23	19:25	19:27	19:27	19:28	19:28	null	null	19:31	19:32	19:33	19:34	19:37	19:38	19:39	null	null	null	null	null	null	null	19:40	19:42
19:27	19:28	19:30	19:32	19:32	19:33	19:33	null	null	null	null	null	null	null	null	null	19:36	19:37	19:38	19:39	19:40	19:41	19:42	null	19:45
19:32	19:33	19:35	19:37	19:37	19:38	19:38	null	null	19:41	19:42	19:43	19:44	19:47	19:48	19:49	null	null	null	null	null	null	null	19:50	19:52
19:42	19:43	19:45	19:47	19:47	19:48	19:48	null	null	null	null	null	null	null	null	null	19:51	19:52	19:53	19:54	19:55	19:56	19:57	null	20:00
19:47	19:48	19:50	19:52	19:52	19:53	19:53	null	null	19:56	19:57	19:58	19:59	20:02	20:03	20:04	null	null	null	null	null	null	null	20:05	20:07
19:52	19:53	19:55	19:57	19:57	19:58	19:58	null	null	null	null	null	null	null	null	null	20:01	20:02	20:03	20:04	20:05	20:06	20:07	null	20:10
20:02	20:03	20:05	20:07	20:07	20:08	20:08	null	null	20:11	20:12	20:13	20:14	20:17	20:18	20:19	null	null	null	null	null	null	null	20:20	20:22
20:07	20:08	20:10	20:12	20:12	20:13	20:13	null	null	null	null	null	null	null	null	null	20:16	20:17	20:18	20:19	20:20	20:21	20:22	null	20:25
20:12	20:13	20:15	20:17	20:17	20:18	20:18	null	null	20:21	20:22	20:23	20:24	20:27	20:28	20:29	null	null	null	null	null	null	null	20:30	20:32
20:17	20:18	20:20	20:22	20:22	20:23	20:23	null	null	null	null	null	null	null	null	null	20:26	20:27	20:28	20:29	20:30	20:31	20:32	null	20:35
20:27	20:28	20:30	20:32	20:32	20:33	20:33	null	null	20:36	20:37	20:38	20:39	20:42	20:43	20:44	null	null	null	null	null	null	null	20:45	20:47
20:37	20:38	20:40	20:42	20:42	20:43	20:43	null	null	null	null	null	null	null	null	null	20:46	20:47	20:48	20:49	20:50	20:51	20:52	null	20:55
20:47	20:48	20:50	20:52	20:52	20:53	20:53	null	null	20:56	20:57	20:58	20:59	21:02	21:03	21:04	null	null	null	null	null	null	null	21:05	21:07
20:57	20:58	21:00	21:02	21:02	21:03	21:03	null	null	null	null	null	null	null	null	null	21:06	21:07	21:08	21:09	21:10	21:11	21:12	null	21:15
21:07	21:08	21:10	21:12	21:12	21:13	21:13	null	null	21:16	21:17	21:18	21:19	21:22	21:23	21:24	null	null	null	null	null	null	null	21:25	21:27
21:12	21:13	21:15	21:17	21:17	21:18	21:18	null	null	null	null	null	null	null	null	null	21:21	21:22	21:23	21:24	21:25	21:26	21:27	null	21:30
21:17	21:18	21:20	21:22	21:22	21:23	21:23	null	null	21:26	21:27	21:28	21:29	21:32	21:33	21:34	null	null	null	null	null	null	null	21:35	21:37
21:22	21:23	21:25	21:27	21:27	21:28	21:28	null	null	null	null	null	null	null	null	null	21:31	21:32	21:33	21:34	21:35	21:36	21:37	null	21:40
21:37	21:38	21:40	21:42	21:42	21:43	21:43	null	null	21:46	21:47	21:48	21:49	21:52	21:53	21:54	null	null	null	null	null	null	null	21:55	21:57
null	null	22:00	22:02	22:02	22:03	22:03	null	null	22:06	22:07	22:08	22:09	22:12	22:13	22:14	null	null	null	null	null	null	null	22:15	22:17
null	null	22:05	22:07	22:07	22:08	22:08	null	null	null	null	null	null	null	null	null	22:11	22:12	22:13	22:14	22:15	22:16	22:17	null	22:20
null	null	22:25	22:27	22:27	22:28	22:28	null	null	22:31	22:32	22:33	22:34	22:37	22:38	22:39	null	null	null	null	null	null	null	22:40	22:42
null	null	22:57	22:59	22:59	23:00	23:00	null	null	23:03	23:04	23:05	23:06	23:09	23:10	23:11	null	null	null	null	null	null	null	23:12	23:14
null	null	23:00	23:02	23:02	23:03	23:03	null	null	null	null	null	null	null	null	null	23:06	23:07	23:08	23:09	23:10	23:11	23:12	null	23:15
